index,x,y,dx,dy
a50.4x-176.4,50.4,-176.4,-9.5449997,-6.1969971
a54x-176.4,54,-176.4,-9.3087006,-6.3329987
a57.6x-176.4,57.6,-176.4,-9.0648026,-6.4570068
a61.2x-176.4,61.2,-176.4,-8.8186996,-6.5759949
a64.8x-176.4,64.8,-176.4,-8.5688965,-6.6910004
a68.4x-176.4,68.4,-176.4,-8.3132034,-6.797995
a72x-176.4,72,-176.4,-8.0513992,-6.8949951
a75.6x-176.4,75.6,-176.4,-7.787001,-6.9800018
a79.2x-176.4,79.2,-176.4,-7.5222977,-7.0580048
a82.8x-176.4,82.8,-176.4,-7.2546036,-7.127005
a86.4x-176.4,86.4,-176.4,-6.9822021,-7.1870026
a90x-176.4,90,-176.4,-6.7072983,-7.2379974
a93.6x-176.4,93.6,-176.4,-6.4360031,-7.2789978
a97.2x-176.4,97.2,-176.4,-6.1639984,-7.3109955
a100.8x-176.4,100.8,-176.4,-5.889003,-7.3329987
a104.4x-176.4,104.4,-176.4,-5.6139999,-7.3470062
a108x-176.4,108,-176.4,-5.3430023,-7.3530029
a111.6x-176.4,111.6,-176.4,-5.0760025,-7.3499969
a115.2x-176.4,115.2,-176.4,-4.8090027,-7.3380035
a118.8x-176.4,118.8,-176.4,-4.5410034,-7.3160004
a122.4x-176.4,122.4,-176.4,-4.277002,-7.2869934
a126x-176.4,126,-176.4,-4.0220032,-7.252005
a129.6x-176.4,129.6,-176.4,-3.7699951,-7.2070068
a133.2x-176.4,133.2,-176.4,-3.5180023,-7.1559967
a136.8x-176.4,136.8,-176.4,-3.2740051,-7.0970062
a140.4x-176.4,140.4,-176.4,-3.0369965,-7.0320038
a144x-176.4,144,-176.4,-2.8040009,-6.9619965
a147.6x-176.4,147.6,-176.4,-2.5799927,-6.8850006
a151.2x-176.4,151.2,-176.4,-2.3619965,-6.804007
a154.8x-176.4,154.8,-176.4,-2.1490051,-6.7200073
a158.4x-176.4,158.4,-176.4,-1.9430023,-6.6310028
a162x-176.4,162,-176.4,-1.753006,-6.5369934
a165.6x-176.4,165.6,-176.4,-1.5710052,-6.4420074
a169.2x-176.4,169.2,-176.4,-1.3879974,-6.3450073
a172.8x-176.4,172.8,-176.4,-1.2110016,-6.2480072
a176.4x-176.4,176.4,-176.4,-1.0550018,-6.1519989
a-180x-172.8,-180,-172.8,-7.5709991,3.9870026
a-176.4x-172.8,-176.4,-172.8,-7.7710022,3.9610016
a-172.8x-172.8,-172.8,-172.8,-7.9690063,3.927005
a-169.2x-172.8,-169.2,-172.8,-8.1649963,3.8860046
