FID,index,x,y,dx,dy,,
88,a136.8x-180,136.8,-180,140.128006,-173.1439972,-3.328006,-6.8560028
89,a140.4x-180,140.4,-180,143.4960022,-173.1990051,-3.0960022,-6.8009949
90,a144x-180,144,-180,146.8690033,-173.2640076,-2.8690033,-6.7359924
91,a147.6x-180,147.6,-180,150.25,-173.3379974,-2.65,-6.6620026
92,a151.2x-180,151.2,-180,153.6369934,-173.4129944,-2.4369934,-6.5870056
93,a154.8x-180,154.8,-180,157.0279999,-173.4869995,-2.2279999,-6.5130005
94,a158.4x-180,158.4,-180,160.427002,-173.5659943,-2.027002,-6.4340057
95,a162x-180,162,-180,163.8379974,-173.6499939,-1.8379974,-6.3500061
96,a165.6x-180,165.6,-180,167.2570038,-173.7369995,-1.6570038,-6.2630005
97,a169.2x-180,169.2,-180,170.6750031,-173.822998,-1.4750031,-6.177002
98,a172.8x-180,172.8,-180,174.0980072,-173.9109955,-1.2980072,-6.0890045
99,a176.4x-180,176.4,-180,177.5420074,-173.996994,-1.1420074,-6.003006
100,a-180x-176.4,-180,-176.4,-172.4589996,-180.1779938,-7.5410004,3.7779938
101,a-176.4x-176.4,-176.4,-176.4,-168.6640015,-180.1519928,-7.7359985,3.7519928
102,a-172.8x-176.4,-172.8,-176.4,-164.871994,-180.1199951,-7.928006,3.7199951
103,a-169.2x-176.4,-169.2,-176.4,-161.0809937,-180.0820007,-8.1190063,3.6820007
104,a-165.6x-176.4,-165.6,-176.4,-157.2940063,-180.0379944,-8.3059937,3.6379944
105,a-162x-176.4,-162,-176.4,-153.5050049,-179.9900055,-8.4949951,3.5900055
106,a-158.4x-176.4,-158.4,-176.4,-149.7189941,-179.9369965,-8.6810059,3.5369965
107,a-154.8x-176.4,-154.8,-176.4,-145.9349976,-179.8730011,-8.8650024,3.4730011
108,a-151.2x-176.4,-151.2,-176.4,-142.154007,-179.8110046,-9.045993,3.4110046
109,a-147.6x-176.4,-147.6,-176.4,-138.3769989,-179.7420044,-9.2230011,3.3420044
110,a-144x-176.4,-144,-176.4,-134.6009979,-179.6649933,-9.3990021,3.2649933
111,a-140.4x-176.4,-140.4,-176.4,-130.8269958,-179.5800018,-9.5730042,3.1800018
112,a-136.8x-176.4,-136.8,-176.4,-127.0550003,-179.4909973,-9.7449997,3.0909973
113,a-133.2x-176.4,-133.2,-176.4,-123.2870026,-179.4029999,-9.9129974,3.0029999
114,a-129.6x-176.4,-129.6,-176.4,-119.5199966,-179.3079987,-10.0800034,2.9079987
115,a-126x-176.4,-126,-176.4,-115.7519989,-179.1970062,-10.2480011,2.7970062
116,a-122.4x-176.4,-122.4,-176.4,-111.9889984,-179.0460052,-10.4110016,2.6460052
117,a-118.8x-176.4,-118.8,-176.4,-108.2320023,-178.947998,-10.5679977,2.547998
118,a-115.2x-176.4,-115.2,-176.4,-104.473999,-178.8670044,-10.726001,2.4670044
119,a-111.6x-176.4,-111.6,-176.4,-100.7259979,-178.7579956,-10.8740021,2.3579956
120,a-108x-176.4,-108,-176.4,-96.9832993,-178.6329956,-11.0167007,2.2329956
121,a-104.4x-176.4,-104.4,-176.4,-93.2452011,-178.5050049,-11.1547989,2.1050049
122,a-100.8x-176.4,-100.8,-176.4,-89.5133972,-178.3619995,-11.2866028,1.9619995
123,a-97.2x-176.4,-97.2,-176.4,-85.7860031,-178.2220001,-11.4139969,1.8220001
124,a-93.6x-176.4,-93.6,-176.4,-82.0643997,-178.0769958,-11.5356003,1.6769958
125,a-90x-176.4,-90,-176.4,-78.3481979,-177.9129944,-11.6518021,1.5129944
126,a-86.4x-176.4,-86.4,-176.4,-74.6374969,-177.7899933,-11.7625031,1.3899933
127,a-82.8x-176.4,-82.8,-176.4,-70.9330978,-177.6340027,-11.8669022,1.2340027
128,a-79.2x-176.4,-79.2,-176.4,-67.2289963,-177.4470062,-11.9710037,1.0470062
129,a-75.6x-176.4,-75.6,-176.4,-63.5346985,-177.2680054,-12.0653015,0.8680054
130,a-72x-176.4,-72,-176.4,-59.8493004,-177.0879974,-12.1506996,0.6879974
131,a-68.4x-176.4,-68.4,-176.4,-56.1715012,-176.904007,-12.2284988,0.504007
132,a-64.8x-176.4,-64.8,-176.4,-52.4994011,-176.7160034,-12.3005989,0.3160034
133,a-61.2x-176.4,-61.2,-176.4,-48.8339005,-176.522995,-12.3660995,0.122995
134,a-57.6x-176.4,-57.6,-176.4,-45.1758003,-176.3300018,-12.4241997,-0.0699982
135,a-54x-176.4,-54,-176.4,-41.5279999,-176.1300049,-12.4720001,-0.2699951
136,a-50.4x-176.4,-50.4,-176.4,-37.8895988,-175.9190063,-12.5104012,-0.4809937
137,a-46.8x-176.4,-46.8,-176.4,-34.2574005,-175.7149963,-12.5425995,-0.6850037
138,a-43.2x-176.4,-43.2,-176.4,-30.6352997,-175.5019989,-12.5647003,-0.8980011
139,a-39.6x-176.4,-39.6,-176.4,-27.0240002,-175.2799988,-12.5759998,-1.1200012
140,a-36x-176.4,-36,-176.4,-23.4221992,-175.0639954,-12.5778008,-1.3360046
141,a-32.4x-176.4,-32.4,-176.4,-19.8299999,-174.8450012,-12.5700001,-1.5549988
142,a-28.8x-176.4,-28.8,-176.4,-16.2486992,-174.6230011,-12.5513008,-1.7769989
143,a-25.2x-176.4,-25.2,-176.4,-12.6773005,-174.4049988,-12.5226995,-1.9950012
144,a-21.6x-176.4,-21.6,-176.4,-9.1175003,-174.1809998,-12.4824997,-2.2190002
145,a-18x-176.4,-18,-176.4,-5.5672598,-173.9539948,-12.4327402,-2.4460052
146,a-14.4x-176.4,-14.4,-176.4,-2.02792,-173.7290039,-12.37208,-2.6709961
147,a-10.8x-176.4,-10.8,-176.4,1.49982,-173.5050049,-12.29982,-2.8949951
148,a-7.2x-176.4,-7.2,-176.4,5.0172601,-173.2819977,-12.2172601,-3.1180023
149,a-3.6x-176.4,-3.6,-176.4,8.52355,-173.0599976,-12.12355,-3.3400024
150,a0x-176.4,0,-176.4,12.0193996,-172.8439941,-12.0193996,-3.5560059
151,a3.6x-176.4,3.6,-176.4,15.5033998,-172.6269989,-11.9033998,-3.7730011
152,a7.2x-176.4,7.2,-176.4,18.9775009,-172.4060059,-11.7775009,-3.9939941
153,a10.8x-176.4,10.8,-176.4,22.4407005,-172.1880035,-11.6407005,-4.2119965
154,a14.4x-176.4,14.4,-176.4,25.8938007,-171.9799957,-11.4938007,-4.4200043
155,a18x-176.4,18,-176.4,29.3381996,-171.779007,-11.3381996,-4.620993
156,a21.6x-176.4,21.6,-176.4,32.7723007,-171.5809937,-11.1723007,-4.8190063
157,a25.2x-176.4,25.2,-176.4,36.1969986,-171.3880005,-10.9969986,-5.0119995
158,a28.8x-176.4,28.8,-176.4,39.6125984,-171.197998,-10.8125984,-5.202002
159,a32.4x-176.4,32.4,-176.4,43.0200996,-171.0149994,-10.6200996,-5.3850006
160,a36x-176.4,36,-176.4,46.4207001,-170.8410034,-10.4207001,-5.5589966
