FID,index,x,y,dx,dy,,
124,a-93.6x-176.4,-93.6,-176.4,-92.8046036,-175.326004,-0.7953964,-1.073996
125,a-90x-176.4,-90,-176.4,-89.2282028,-175.3320007,-0.7717972,-1.0679993
126,a-86.4x-176.4,-86.4,-176.4,-85.6472015,-175.3350067,-0.7527985,-1.0649933
127,a-82.8x-176.4,-82.8,-176.4,-82.0671997,-175.3399963,-0.7328003,-1.0600037
128,a-79.2x-176.4,-79.2,-176.4,-78.4927979,-175.3450012,-0.7072021,-1.0549988
129,a-75.6x-176.4,-75.6,-176.4,-74.9184036,-175.3500061,-0.6815964,-1.0499939
130,a-72x-176.4,-72,-176.4,-71.3391037,-175.3540039,-0.6608963,-1.0459961
131,a-68.4x-176.4,-68.4,-176.4,-67.759201,-175.3580017,-0.640799,-1.0419983
132,a-64.8x-176.4,-64.8,-176.4,-64.1820984,-175.3619995,-0.6179016,-1.0380005
133,a-61.2x-176.4,-61.2,-176.4,-60.6072006,-175.3650055,-0.5927994,-1.0349945
134,a-57.6x-176.4,-57.6,-176.4,-57.0304985,-175.3679962,-0.5695015,-1.0320038
135,a-54x-176.4,-54,-176.4,-53.4510002,-175.3710022,-0.5489998,-1.0289978
136,a-50.4x-176.4,-50.4,-176.4,-49.8722992,-175.3739929,-0.5277008,-1.0260071
137,a-46.8x-176.4,-46.8,-176.4,-46.2961006,-175.3769989,-0.5038994,-1.0230011
138,a-43.2x-176.4,-43.2,-176.4,-42.7200012,-175.3789978,-0.4799988,-1.0210022
139,a-39.6x-176.4,-39.6,-176.4,-39.1417999,-175.3809967,-0.4582001,-1.0190033
140,a-36x-176.4,-36,-176.4,-35.5629997,-175.3829956,-0.4370003,-1.0170044
141,a-32.4x-176.4,-32.4,-176.4,-31.9855003,-175.3849945,-0.4144997,-1.0150055
142,a-28.8x-176.4,-28.8,-176.4,-28.4090004,-175.3869934,-0.3909996,-1.0130066
143,a-25.2x-176.4,-25.2,-176.4,-24.8316994,-175.3880005,-0.3683006,-1.0119995
144,a-21.6x-176.4,-21.6,-176.4,-21.2535,-175.3899994,-0.3465,-1.0100006
145,a-18x-176.4,-18,-176.4,-17.6756001,-175.3910065,-0.3243999,-1.0089935
146,a-14.4x-176.4,-14.4,-176.4,-14.0983,-175.3919983,-0.3017,-1.0080017
147,a-10.8x-176.4,-10.8,-176.4,-10.5207005,-175.3919983,-0.2792995,-1.0080017
148,a-7.2x-176.4,-7.2,-176.4,-6.9428802,-175.3930054,-0.2571198,-1.0069946
149,a-3.6x-176.4,-3.6,-176.4,-3.3654399,-175.3939972,-0.2345601,-1.0060028
150,a0x-176.4,0,-176.4,0.211819,-175.3939972,-0.211819,-1.0060028
151,a3.6x-176.4,3.6,-176.4,3.7899799,-175.3939972,-0.1899799,-1.0060028
152,a7.2x-176.4,7.2,-176.4,7.3684802,-175.3939972,-0.1684802,-1.0060028
153,a10.8x-176.4,10.8,-176.4,10.9455004,-175.3939972,-0.1455004,-1.0060028
154,a14.4x-176.4,14.4,-176.4,14.5221996,-175.3930054,-0.1221996,-1.0069946
155,a18x-176.4,18,-176.4,18.1000996,-175.3919983,-0.1000996,-1.0080017
156,a21.6x-176.4,21.6,-176.4,21.6791992,-175.3919983,-0.0791992,-1.0080017
157,a25.2x-176.4,25.2,-176.4,25.2574997,-175.3910065,-0.0574997,-1.0089935
158,a28.8x-176.4,28.8,-176.4,28.8337002,-175.3899994,-0.0337002,-1.0100006
159,a32.4x-176.4,32.4,-176.4,32.4101982,-175.3880005,-0.0101982,-1.0119995
160,a36x-176.4,36,-176.4,35.989399,-175.3869934,0.010601,-1.0130066
161,a39.6x-176.4,39.6,-176.4,39.5694008,-175.3849945,0.0305992,-1.0150055
162,a43.2x-176.4,43.2,-176.4,43.1464005,-175.3829956,0.0535995,-1.0170044
163,a46.8x-176.4,46.8,-176.4,46.7215004,-175.3809967,0.0784996,-1.0190033
164,a50.4x-176.4,50.4,-176.4,50.2989006,-175.378006,0.1010994,-1.021994
165,a54x-176.4,54,-176.4,53.8795013,-175.3760071,0.1204987,-1.0239929
166,a57.6x-176.4,57.6,-176.4,57.4588013,-175.3730011,0.1411987,-1.0269989
167,a61.2x-176.4,61.2,-176.4,61.0335999,-175.3699951,0.1664001,-1.0300049
168,a64.8x-176.4,64.8,-176.4,64.6080017,-175.3670044,0.1919983,-1.0329956
169,a68.4x-176.4,68.4,-176.4,68.1880035,-175.3630066,0.2119965,-1.0369934
170,a72x-176.4,72,-176.4,71.7694016,-175.3600006,0.2305984,-1.0399994
171,a75.6x-176.4,75.6,-176.4,75.3463974,-175.3560028,0.2536026,-1.0439972
172,a79.2x-176.4,79.2,-176.4,78.9195023,-175.352005,0.2804977,-1.047995
173,a82.8x-176.4,82.8,-176.4,82.4965973,-175.3470001,0.3034027,-1.0529999
174,a86.4x-176.4,86.4,-176.4,86.0786972,-175.3419952,0.3213028,-1.0580048
175,a90x-176.4,90,-176.4,89.6600037,-175.3370056,0.3399963,-1.0629944
176,a93.6x-176.4,93.6,-176.4,93.2350998,-175.3320007,0.3649002,-1.0679993
177,a97.2x-176.4,97.2,-176.4,96.8090973,-175.326004,0.3909027,-1.073996
178,a100.8x-176.4,100.8,-176.4,100.3889999,-175.3200073,0.4110001,-1.0799927
179,a104.4x-176.4,104.4,-176.4,103.9729996,-175.3139954,0.4270004,-1.0860046
180,a108x-176.4,108,-176.4,107.552002,-175.3070068,0.447998,-1.0929932
181,a111.6x-176.4,111.6,-176.4,111.125,-175.3000031,0.475,-1.0999969
182,a115.2x-176.4,115.2,-176.4,114.7009964,-175.2929993,0.4990036,-1.1070007
183,a118.8x-176.4,118.8,-176.4,118.2829971,-175.2850037,0.5170029,-1.1149963
184,a122.4x-176.4,122.4,-176.4,121.8649979,-175.276001,0.5350021,-1.123999
185,a126x-176.4,126,-176.4,125.439003,-175.2680054,0.560997,-1.1319946
186,a129.6x-176.4,129.6,-176.4,129.0099945,-175.2590027,0.5900055,-1.1409973
187,a133.2x-176.4,133.2,-176.4,132.5890045,-175.2489929,0.6109955,-1.1510071
188,a136.8x-176.4,136.8,-176.4,136.1719971,-175.2389984,0.6280029,-1.1610016
189,a140.4x-176.4,140.4,-176.4,139.7519989,-175.2279968,0.6480011,-1.1720032
190,a144x-176.4,144,-176.4,143.3249969,-175.2169952,0.6750031,-1.1830048
191,a147.6x-176.4,147.6,-176.4,146.897995,-175.2050018,0.702005,-1.1949982
